# X_606 Y_606 MAG_dp_606 ERR_dp_606 CHI_606 SHARP_606 STMAG_606 RA_606 DEC_606 X_814 Y_814 MAG_dp_814 ERR_dp_814 CHI_814 SHARP_814 STMAG_814 RA_814 DEC_814 ERR_606 ERR_814 sgFlag_606 sgFlag_814 sgXFlag
2158.679 316.31 16.352 0.0784 2.082 0.817 27.0402 162.3536 51.0823 2160.802 313.209 16.357 0.0795 2.089 0.911 27.1351 162.3536 51.0823 0.0327 0.0337 0 0 0.0
4266.035 327.035 16.828 0.0652 1.163 0.716 27.5162 162.3801 51.0703 4267.827 323.624 17.466 0.0762 0.805 0.433 28.2441 162.3801 51.0704 0.0436 0.0645 0 1 0.8
3689.871 337.825 17.334 0.0801 1.003 0.758 28.0222 162.3727 51.0735 3691.565 334.725 17.097 0.0799 1.196 0.531 27.8751 162.3727 51.0735 0.0593 0.0519 1 1 1.0
4191.536 341.653 17.714 0.2058 1.888 -2.327 28.4022 162.379 51.0706 4193.695 338.103 18.912 0.3286 1.048 -2.246 29.6901 162.379 51.0707 0.0746 0.1509 0 1 0.3
5396.121 348.311 14.848 0.0248 1.387 0.31 25.5362 162.3941 51.0638 5398.268 345.294 14.891 0.0238 1.304 0.088 25.6691 162.3941 51.0638 0.0132 0.0145 0 1 0.8
4310.112 352.018 16.338 0.0319 0.765 0.189 27.0262 162.3804 51.0699 4312.333 348.876 16.154 0.0258 0.649 0.032 26.9321 162.3804 51.0699 0.0324 0.03 1 1 1.0
5738.623 354.113 17.529 0.0967 1.055 -0.172 28.2172 162.3984 51.0618 5740.842 351.012 17.276 0.0583 0.688 -0.094 28.0541 162.3984 51.0618 0.0667 0.0577 1 1 1.0
2260.951 359.64 17.628 0.1431 1.311 -0.746 28.3162 162.3545 51.0814 2263.045 358.634 17.341 0.1592 2.001 -0.599 28.1191 162.3544 51.0813 0.0708 0.0599 1 0 0.3
3779.319 361.762 14.151 0.0394 3.096 0.257 24.8392 162.3736 51.0728 3781.363 358.726 14.294 0.013 0.798 0.011 25.0721 162.3736 51.0728 0.0086 0.0104 0 1 0.8
5700.911 365.266 16.141 0.036 1.028 0.116 26.8292 162.3978 51.062 5703.085 362.2 16.015 0.0211 0.546 0.113 26.7931 162.3978 51.062 0.0288 0.0277 1 1 1.0
3709.652 376.144 17.572 0.0763 0.753 0.376 28.2602 162.3726 51.0731 3711.439 373.015 16.925 0.0294 0.364 -0.007 27.7031 162.3726 51.0731 0.0685 0.047 1 1 1.0
4103.506 376.505 10.898 0.0329 3.971 0.546 21.5862 162.3776 51.0709 4105.512 373.492 10.539 0.0181 2.107 0.152 21.3171 162.3776 51.0709 0.0085 0.0093 0 1 0.8
3324.864 380.189 16.884 0.073 1.263 0.693 27.5722 162.3677 51.0752 3326.525 376.436 17.08 0.1114 1.776 1.229 27.8581 162.3677 51.0752 0.0451 0.0514 0 0 0.0
4938.107 382.655 16.303 0.0339 0.856 -0.087 26.9912 162.388 51.0661 4940.237 379.544 16.21 0.0275 0.671 0.001 26.9881 162.388 51.0661 0.0318 0.031 1 1 1.0
2938.304 384.883 17.342 0.127 1.522 -0.924 28.0302 162.3628 51.0774 2941.573 381.321 15.805 0.1464 5.801 -0.325 26.5831 162.3628 51.0774 0.0596 0.0245 0 0 0.0
2727.292 385.265 15.349 0.034 1.543 0.262 26.0372 162.3601 51.0785 2729.314 382.168 14.993 0.029 1.556 0.278 25.7711 162.3601 51.0785 0.0178 0.0154 1 0 0.8
4380.367 393.725 15.764 0.091 3.649 1.258 26.4522 162.3809 51.0692 4382.627 390.558 16.028 0.098 3.335 1.221 26.8061 162.3809 51.0692 0.0229 0.0279 0 0 0.0
4102.77 398.871 15.271 0.0828 4.247 1.149 25.9592 162.3774 51.0707 4104.593 395.879 15.956 0.0703 2.29 0.825 26.7341 162.3774 51.0707 0.017 0.0267 0 0 0.0
3790.434 402.277 16.923 0.0445 0.71 -0.161 27.6112 162.3734 51.0724 3792.438 399.03 16.751 0.0543 1.021 0.252 27.5291 162.3734 51.0724 0.0462 0.0424 1 1 1.0
758.939 404.947 16.37 0.0961 2.449 1.062 27.0582 162.3351 51.0894 759.73 400.662 16.498 0.093 2.19 0.847 27.2761 162.3351 51.0895 0.0331 0.0366 0 0 0.0
4083.469 409.222 15.177 0.0646 3.421 0.952 25.8652 162.377 51.0707 4085.749 406.229 15.738 0.0615 2.409 0.758 26.5161 162.377 51.0707 0.0161 0.0236 0 0 0.0
2110.744 409.906 14.66 0.0259 1.632 0.18 25.3482 162.3521 51.0818 2112.746 406.857 14.753 0.016 0.868 -0.054 25.5311 162.3521 51.0818 0.0118 0.0134 1 1 1.0
5370.128 413.022 16.708 0.1144 2.272 1.455 27.3962 162.3932 51.0635 5371.582 410.185 16.269 0.1109 2.963 1.229 27.0471 162.3932 51.0635 0.0406 0.0321 0 0 0.0
3919.571 422.902 16.143 0.0509 1.556 0.532 26.8312 162.3748 51.0715 3921.597 419.841 16.933 0.0426 0.628 0.023 27.7111 162.3748 51.0715 0.0288 0.0472 0 1 0.8
5600.408 423.984 16.933 0.1015 1.726 1.102 27.6212 162.396 51.0621 5602.074 421.117 17.075 0.0883 1.183 0.815 27.8531 162.396 51.0621 0.0465 0.0513 0 0 0.0
327.77 432.298 18.261 0.2036 1.04 -1.004 28.9492 162.3294 51.0916 329.193 427.979 16.492 0.1095 2.499 0.533 27.2701 162.3294 51.0917 0.1039 0.0365 1 0 0.3
1653.23 435.636 16.07 0.0698 2.208 0.646 26.7582 162.3461 51.0842 1655.303 432.671 16.774 0.0586 1.08 0.368 27.5521 162.3461 51.0842 0.0276 0.043 0 1 0.6
4198.054 442.198 16.377 0.1144 3.162 1.484 27.0652 162.3782 51.0698 4200.389 438.699 16.462 0.113 2.89 1.369 27.2401 162.3782 51.0698 0.0332 0.0359 0 0 0.0
3551.265 442.71 17.236 0.0715 0.931 0.592 27.9242 162.37 51.0734 3553.422 439.27 17.246 0.1217 1.686 0.916 28.0241 162.37 51.0735 0.0559 0.0567 1 0 0.6
945.835 457.911 15.31 0.1107 5.499 1.4 25.9982 162.337 51.088 947.847 454.833 15.386 0.121 5.783 1.573 26.1641 162.337 51.088 0.0174 0.0193 0 0 0.0
2036.933 458.078 15.866 0.0741 2.713 0.86 26.5542 162.3507 51.0818 2039.01 455.006 16.161 0.0796 2.419 0.907 26.9391 162.3507 51.0818 0.0244 0.0301 0 0 0.0
4916.55 462.964 13.267 0.0166 1.498 0.199 23.9552 162.3871 51.0656 4918.642 459.895 13.59 0.0164 1.328 0.074 24.3681 162.3871 51.0656 0.0085 0.0093 1 1 1.0
2973.829 471.179 15.542 0.1266 5.4 1.816 26.2302 162.3625 51.0765 2975.755 467.975 15.743 0.1315 4.49 1.603 26.5211 162.3625 51.0765 0.02 0.0237 0 0 0.0
1539.687 471.548 15.629 0.0361 1.36 -0.019 26.3172 162.3443 51.0845 1541.66 468.508 15.586 0.0247 0.914 -0.052 26.3641 162.3443 51.0845 0.0211 0.0216 1 1 1.0
3593.946 474.217 16.747 0.089 1.765 0.8 27.4352 162.3703 51.073 3595.741 471.273 16.987 0.0882 1.336 0.601 27.7651 162.3703 51.073 0.0415 0.0487 0 0 0.0
2970.867 475.236 14.836 0.1164 6.907 1.721 25.5242 162.3624 51.0765 2973.036 472.076 14.689 0.1357 8.688 1.983 25.4671 162.3624 51.0765 0.0131 0.013 0 0 0.0
3140.099 482.654 15.047 0.0236 1.199 0.129 25.7352 162.3645 51.0754 3142.255 479.619 15.091 0.0219 1.067 -0.061 25.8691 162.3645 51.0754 0.0148 0.0163 1 1 1.0
5439.692 485.892 17.226 0.0769 0.969 0.546 27.9142 162.3935 51.0625 5441.266 482.576 17.528 0.0728 0.627 0.407 28.3061 162.3934 51.0625 0.0555 0.0669 1 1 1.0
3589.463 494.232 17.107 0.1114 1.647 1.225 27.7952 162.37 51.0728 3591.746 490.519 16.034 0.1408 4.359 1.625 26.8121 162.37 51.0728 0.0517 0.028 0 0 0.0
3546.194 498.351 16.857 0.1068 2.022 1.148 27.5452 162.3694 51.073 3548.18 495.393 16.94 0.0977 1.643 0.919 27.7181 162.3694 51.073 0.0444 0.0474 0 0 0.0
2678.485 505.376 16.279 0.0346 0.87 0.108 26.9672 162.3584 51.0779 2680.56 502.269 15.773 0.0234 0.755 -0.059 26.5511 162.3584 51.0779 0.0313 0.0241 1 1 1.0
3624.531 506.818 16.767 0.0913 1.778 0.995 27.4552 162.3704 51.0725 3626.873 503.637 17.121 0.1008 1.401 0.828 27.8991 162.3704 51.0725 0.042 0.0527 0 0 0.0
342.198 510.998 16.357 0.0791 1.969 0.786 27.0452 162.3289 51.0909 344.514 508.183 17.038 0.1137 1.799 0.789 27.8161 162.3289 51.0909 0.0328 0.0502 0 0 0.0
2293.576 514.503 16.869 0.0572 0.986 0.183 27.5572 162.3535 51.0799 2295.706 511.465 16.723 0.0312 0.49 0.028 27.5011 162.3535 51.08 0.0447 0.0418 1 1 1.0
726.934 515.949 17.075 0.0578 0.764 0.01 27.7632 162.3337 51.0887 728.386 512.276 17.769 0.0958 0.718 -0.035 28.5471 162.3337 51.0888 0.0507 0.077 1 1 1.0
4512.165 531.505 18.761 0.4135 1.528 -4.154 29.4492 162.3813 51.0673 4515.482 527.102 16.618 0.2211 4.376 -2.974 27.3961 162.3814 51.0673 0.1406 0.0393 0 0 0.0
492.88 532.138 16.233 0.0755 2.031 0.767 26.9212 162.3306 51.0899 494.846 529.299 16.358 0.0994 2.603 1.09 27.1361 162.3306 51.0899 0.0304 0.0338 0 0 0.0
981.327 543.365 16.057 0.049 1.466 0.211 26.7452 162.3367 51.0871 983.273 540.352 16.426 0.0457 1.021 0.161 27.2041 162.3367 51.0871 0.0274 0.0351 1 1 1.0
378.044 549.15 16.564 0.0826 1.613 0.643 27.2522 162.329 51.0904 380.582 546.25 16.853 0.0889 1.422 0.683 27.6311 162.329 51.0904 0.0372 0.045 0 0 0.1
3462.315 560.293 14.467 0.0357 2.464 0.341 25.1552 162.3678 51.073 3464.422 557.239 14.57 0.016 0.928 0.011 25.3481 162.3678 51.073 0.0105 0.0121 0 1 0.8
5612.661 561.801 16.764 0.0368 0.631 -0.098 27.4522 162.395 51.0609 5614.981 558.774 16.68 0.0481 0.928 0.053 27.4581 162.395 51.0609 0.042 0.0407 1 1 1.0
3156.029 565.232 16.836 0.0811 1.478 0.822 27.5242 162.3639 51.0747 3158.419 562.681 17.056 0.0861 1.301 0.785 27.8341 162.3639 51.0747 0.0438 0.0507 0 0 0.1
382.007 567.246 15.154 0.0775 3.568 0.754 25.8422 162.3289 51.0903 384.603 564.261 14.72 0.0782 4.86 0.982 25.4981 162.3289 51.0903 0.0158 0.0132 0 0 0.0
3168.287 571.814 16.233 0.0931 2.702 1.065 26.9212 162.364 51.0746 3170.827 568.354 16.497 0.12 2.641 1.295 27.2751 162.364 51.0746 0.0304 0.0366 0 0 0.0
607.003 573.181 16.379 0.0913 2.184 1.013 27.0672 162.3317 51.089 609.017 569.848 16.985 0.1022 1.604 0.924 27.7631 162.3317 51.089 0.0332 0.0487 0 0 0.0
