,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,u*mag,g'mag,r'mag,i'mag,z'mag,gr,r
40,0.00012351,-2.1,10.1,0.7650918365,2.4058728278,0.764,0.413,3.8145,4.118,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-3.23e-13,0.0,0.8666,0.1333,1.396e-05,3.847e-06,3.521e-05,-1.0,0.0001,3.736,4.58,3.97,3.763,3.725,3.739,0.2070000000000003,21.693121911934874
41,0.00012351,-2.1,10.1,0.7691103816,2.4074207222,0.768,0.468,3.8126,4.058,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-3.91e-13,0.0,0.8654,0.1345,1.408e-05,3.882e-06,3.553e-05,-1.0,0.0001001,3.6,4.449,3.835,3.624,3.584,3.596,0.21099999999999985,21.554121911934875
42,0.00012351,-2.1,10.1,0.7719227076,2.4084929787,0.771,0.511,3.8099,4.005,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-4.59e-13,0.0,0.8646,0.1353,1.417e-05,3.906e-06,3.575e-05,-1.0,0.0001001,3.491,4.349,3.732,3.513,3.469,3.479,0.2190000000000003,21.443121911934874
43,0.00012351,-2.1,10.1,0.7725223899,2.4087204587,0.771,0.521,3.8091,3.992,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-4.77e-13,0.0,0.8645,0.1354,1.419e-05,3.911e-06,3.58e-05,-1.0,0.0001,3.467,4.327,3.709,3.488,3.443,3.452,0.22100000000000009,21.418121911934875
44,0.00012351,-2.1,10.1,0.77310431,2.4089408131,0.772,0.532,3.8079,3.977,2,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-4.97e-13,0.0,0.8643,0.1356,1.42e-05,3.916e-06,3.584e-05,-1.0,0.0001,3.44,4.303,3.684,3.459,3.413,3.421,0.2250000000000001,21.389121911934875
45,0.00012351,-2.1,10.1,0.775062263,2.4096794332,0.774,0.572,3.8025,3.917,2,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-5.82e-13,0.0,0.8637,0.1362,1.426e-05,3.932e-06,3.599e-05,-1.0,0.0001,3.34,4.221,3.596,3.355,3.301,3.304,0.2410000000000001,21.285121911934876
46,0.00012351,-2.1,10.1,0.776561439,2.4102420895,0.775,0.608,3.7958,3.855,2,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-6.78e-13,0.0,0.8633,0.1366,1.431e-05,3.945e-06,3.611e-05,-1.0,0.0001001,3.251,4.155,3.523,3.261,3.197,3.193,0.262,21.191121911934875
47,0.00012351,-2.1,10.1,0.777736187,2.4106812417,0.776,0.64,3.788,3.791,2,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-7.86e-13,0.0,0.8628,0.1371,1.437e-05,3.962e-06,3.626e-05,-1.0,0.0001062,3.169,4.103,3.461,3.174,3.099,3.087,0.2869999999999999,21.104121911934875
48,0.00012351,-2.1,10.1,0.7786837816,2.4110343678,0.777,0.67,3.7794,3.728,2,0.0,0.529,0.0,0.0,0.0,0.0,0.0,-1,-9.05e-13,0.0,0.8566,0.1433,1.494e-05,4.117e-06,3.767e-05,-1.0,7.182e-05,3.094,4.064,3.409,3.094,3.007,2.986,0.31499999999999995,21.024121911934877
49,0.00012351,-2.1,10.1,0.7794789672,2.4113299362,0.778,0.699,3.7712,3.667,2,0.0,0.53,0.0,0.0,0.0,0.0,0.0,-1,-1.04e-12,0.0,0.8367,0.1632,1.653e-05,4.548e-06,4.155e-05,-1.0,6.939e-05,3.023,4.034,3.361,3.019,2.92,2.891,0.3420000000000001,20.949121911934874
50,0.00012351,-2.1,10.1,0.7801806927,2.4115901902,0.779,0.728,3.7636,3.607,2,0.0,0.533,0.0,0.0,0.0,0.0,0.0,-1,-1.19e-12,0.0,0.8103,0.1896,1.856e-05,5.092e-06,4.642e-05,-1.0,8.799e-05,2.95,4.002,3.311,2.943,2.833,2.796,0.3679999999999999,20.873121911934877
51,0.00012351,-2.1,10.1,0.7808033824,2.4118206812,0.779,0.761,3.7568,3.548,2,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-1.37e-12,0.0,0.7924,0.2075,1.991e-05,5.453e-06,4.964e-05,-1.0,0.0001027,2.869,3.961,3.251,2.86,2.74,2.696,0.391,20.790121911934875
52,0.00012351,-2.1,10.1,0.7814201117,2.4120485496,0.78,0.802,3.7508,3.484,2,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-1.62e-12,0.0,0.7815,0.2183,2.073e-05,5.672e-06,5.16e-05,-1.0,0.0001273,2.766,3.897,3.168,2.757,2.628,2.577,0.41100000000000003,20.687121911934877
53,0.00012351,-2.1,10.1,0.7819070816,2.4122281826,0.78,0.841,3.7469,3.428,2,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-1.89e-12,0.0,0.7763,0.2236,2.113e-05,5.78e-06,5.256e-05,-1.0,0.0001304,2.667,3.826,3.083,2.658,2.522,2.468,0.42500000000000027,20.588121911934877
54,0.00012351,-2.1,10.1,0.7822399735,2.4123508315,0.78,0.871,3.7445,3.389,2,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-2.12e-12,0.0,0.7735,0.2264,2.134e-05,5.834e-06,5.304e-05,-1.0,0.0001305,2.592,3.768,3.016,2.583,2.444,2.387,0.43299999999999983,20.513121911934874
55,0.00012351,-2.1,10.1,0.782535553,2.4124596326,0.781,0.901,3.7429,3.353,3,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-2.37e-12,0.0,0.7717,0.2281,2.147e-05,5.868e-06,5.335e-05,-1.0,0.0001238,2.517,3.704,2.947,2.508,2.367,2.308,0.43900000000000006,20.438121911934875
56,0.00012351,-2.1,10.1,0.782923162,2.412602166,0.781,0.942,3.7409,3.304,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-2.75e-12,0.0,0.7696,0.2303,2.161e-05,5.907e-06,5.369e-05,-1.0,0.0001073,2.414,3.616,2.851,2.406,2.261,2.201,0.44499999999999984,20.336121911934875
57,0.00012351,-2.1,10.1,0.783313632,2.4127455876,0.781,0.986,3.739,3.253,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.22e-12,0.0,0.7677,0.2322,2.173e-05,5.939e-06,5.398e-05,-1.0,8.014e-05,2.305,3.521,2.748,2.297,2.15,2.087,0.45100000000000007,20.227121911934876
58,0.00012351,-2.1,10.1,0.7836876512,2.4128828125,0.782,1.031,3.7374,3.202,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.78e-12,0.0,0.766,0.2339,2.182e-05,5.965e-06,5.421e-05,-1.0,0.0001286,2.194,3.423,2.643,2.186,2.037,1.972,0.45699999999999985,20.116121911934876
59,0.00012351,-2.1,10.1,0.7840852141,2.4130285105,0.782,1.081,3.7357,3.145,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-4.54e-12,0.0,0.7643,0.2356,2.191e-05,5.988e-06,5.443e-05,-1.0,0.0001304,2.067,3.31,2.523,2.061,1.909,1.843,0.4620000000000002,19.991121911934876
60,0.00012351,-2.1,10.1,0.7844187617,2.4131506172,0.782,1.127,3.7342,3.094,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-5.34e-12,0.0,0.7629,0.237,2.197e-05,6.006e-06,5.458e-05,-1.0,0.0001304,1.954,3.208,2.415,1.948,1.795,1.726,0.4670000000000001,19.878121911934876
61,0.00012351,-2.1,10.1,0.7847562432,2.4132740426,0.782,1.176,3.7327,3.038,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-6.38e-12,0.0,0.7616,0.2383,2.203e-05,6.022e-06,5.471e-05,-1.0,0.0001055,1.83,3.096,2.296,1.825,1.669,1.599,0.47099999999999986,19.755121911934875
62,0.00012351,-2.1,10.1,0.785087347,2.4133950169,0.783,1.229,3.7311,2.979,3,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-7.72e-12,0.0,0.7603,0.2396,2.207e-05,6.036e-06,5.484e-05,-1.0,0.0001116,1.697,2.976,2.169,1.694,1.536,1.464,0.4750000000000001,19.624121911934875
63,0.00012351,-2.1,10.1,0.7853545547,2.4134925602,0.783,1.276,3.7296,2.926,3,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-9.14e-12,0.0,0.7593,0.2406,2.209e-05,6.048e-06,5.492e-05,-1.0,0.0001276,1.58,2.871,2.057,1.578,1.417,1.344,0.47899999999999987,19.508121911934875
64,0.00012351,-2.1,10.1,0.7856122851,2.4135865716,0.783,1.325,3.7282,2.871,3,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-1.09e-11,0.0,0.7584,0.2415,2.21e-05,6.061e-06,5.499e-05,-1.0,0.0001304,1.458,2.762,1.94,1.456,1.293,1.219,0.484,19.386121911934875
65,0.00012351,-2.1,10.1,0.7858439088,2.4136709995,0.783,1.373,3.7267,2.817,3,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-1.29e-11,0.0,0.7575,0.2423,2.21e-05,6.074e-06,5.505e-05,-1.0,0.0001296,1.337,2.654,1.826,1.336,1.172,1.096,0.49,19.266121911934874
